MGI.symbol	HGNC.symbol
Lrp1b	LRP1B
4930579F01Rik	C4orf17
Sdc4	SDC4
Lrrc32	LRRC32
Creg2	CREG2
Tbr1	TBR1
Tnfrsf18	TNFRSF18
Phf12	PHF12
Kcmf1	KCMF1
Hacl1	HACL1
Ncf4	NCF4
Cbx1	CBX1
Kcna1	KCNA1
Pak6	BUB1B-PAK6
Pak6	PAK6
Kdm1a	KDM1A
Rec8	REC8
Cpsf4	CPSF4
Cyp1b1	CYP1B1
Gm15922	LILRB4
Gm15922	LILRB3
Gm15922	LILRA6
Gm15922	LILRB5
Gm15922	LILRA4
Gm15922	LILRA5
Man1a	MAN1A1
Dennd6b	DENND6B
4930503L19Rik	C18orf54
Rpl24	RPL24
Zfp30	ZFP30
Tnfsf13	TNFSF13
Zfp105	ZNF35
Ighv1-49	IGHV1-24
Ighv1-49	IGHV1-69-2
Olfr1221	OR4C15
Ptpn1	PTPN1
Ighv1-26	IGHV1-24
Ighv1-26	IGHV1-69-2
Cd52	CD52
Gm20730	IGKV2-30
Gm20730	IGKV2D-30
Cx3cl1	CX3CL1
Gpr19	GPR19
Grk1	GRK1
Rbbp8nl	RBBP8NL
Ahnak2	AHNAK2
Dbndd2	DBNDD2
Gramd1b	GRAMD1B
Myo1g	MYO1G
Bmt2	BMT2
Hrnr	HRNR
Wee2	WEE2
Gtf2h4	GTF2H4
Olfr1458	OR5B3
March9	MARCH9
Nr2f2	NR2F2
Nab2	NAB2
Cggbp1	CGGBP1
Cpt2	CPT2
Arl2bp	ARL2BP
Tns2	TNS2
Tmem176b	TMEM176B
Ska1	SKA1
Tmem200a	TMEM200A
Cib3	CIB3
Aebp2	AEBP2
Tmod4	TMOD4
Ucp1	UCP1
Cdh23	CDH23
Ralb	RALB
Zfp651	ZBTB47
Glipr1l2	GLIPR1L2
Tbc1d14	TBC1D14
Tecpr2	TECPR2
Pkd1l3	PKD1L3
Tal2	TAL2
Ccdc159	CCDC159
Hsd11b2	HSD11B2
Brdt	BRDT
Calr	CALR
Emp1	EMP1
Tac2	TAC3
Spdye4b	SPDYE21P
Spdye4b	SPDYE5
Spdye4b	SPDYE4
Spdye4b	SPDYE6
Tdp1	TDP1
Abcb5	ABCB5
Cacfd1	CACFD1
Plxnc1	PLXNC1
Sema4f	SEMA4F
Smarcd1	SMARCD1
Ildr1	ILDR1
Insl5	INSL5
Tas2r125	TAS2R14
Tet3	TET3
Erich4	ERICH4
Tmem9	TMEM9
Fam162b	FAM162B
Grk4	GRK4
D5Ertd579e	KIAA0232
Rsrc1	RSRC1
Prob1	PROB1
Tmcc2	TMCC2
Wdsub1	WDSUB1
Gpr18	GPR18
Slc38a10	SLC38A10
Htra3	HTRA3
8030474K03Rik	CXorf49
8030474K03Rik	CXorf49B
Il15	IL15
Plcz1	PLCZ1
Cntnap3	CNTNAP3
Cntnap3	CNTNAP3B
Tppp3	TPPP3
Nedd8	NEDD8
Opalin	OPALIN
Asic3	ASIC3
Igsf1	IGSF1
Nudt2	NUDT2
Hmox2	HMOX2
Olfr1175-ps	OR5D3P
Celf6	CELF6
Rpa3	RPA3
Stat4	STAT4
1700123L14Rik	NUP50
Neu1	NEU1
Pstk	PSTK
Acox3	ACOX3
Zdhhc8	ZDHHC8
Nipsnap3b	NIPSNAP3A
Necab1	NECAB1
Hnmt	HNMT
Cnot8	CNOT8
Gm13723	OR8H2
Gm13723	OR8H3
Gm13723	OR8H1
Olfr1223	OR4C15
Trbv31	TRBV30
Zfp777	ZNF777
Gsg1	GSG1
Slc26a3	SLC26A3
Dcbld1	DCBLD1
1700029H14Rik	C13orf46
Foxp3	FOXP3
Lurap1l	LURAP1L
Fanca	FANCA
Hes3	HES3
Zfp944	ZNF34
Abcf1	ABCF1
Retnla	RETNLB
Dupd1	DUPD1
Ldlr	LDLR
Stpg1	STPG1
Ccdc158	CCDC158
Akap8l	AKAP8L
Tmtc4	TMTC4
Arf2	ARL17B
Arf2	ARL17A
Nod2	NOD2
Sept10	SEPT10
Adig	ADIG
Srrt	SRRT
Zfand5	ZFAND5
Mocos	MOCOS
Cyth4	CYTH4
Hps4	HPS4
Pdap1	PDAP1
Haus7	HAUS7
Cd96	CD96
Orc6	ORC6
Csf2rb	CSF2RB
Golgb1	GOLGB1
Nfs1	NFS1
Rpl36a	RPL36A
Mmadhc	MMADHC
Bud31	BUD31
E2f8	E2F8
Crhr2	CRHR2
Ppp1r3f	PPP1R3F
Olfr982	OR10S1
Fam210a	FAM210A
Olfr1229	OR4C15
Tmco1	TMCO1
Tmem212	TMEM212
Spata1	SPATA1
Reps1	REPS1
Lypd8	LYPD8
Prpf40a	PRPF40A
Fosl2	FOSL2
Bzw2	BZW2
Esf1	ESF1
Dcun1d5	DCUN1D5
Smpd1	SMPD1
Perm1	PERM1
Mgrn1	MGRN1
Igkv8-19	IGKV4-1
Pla2g6	PLA2G6
Gabra1	GABRA1
Rnf13	RNF13
Adamts13	ADAMTS13
Pik3r4	PIK3R4
Gngt1	GNGT1
Rint1	RINT1
Xpnpep2	XPNPEP2
Kif9	KIF9
Pdpr	PDPR
Man1a2	MAN1A2
Elavl3	ELAVL3
Acap2	ACAP2
Pabpc2	PABPC3
Awat2	AWAT2
Siae	SIAE
Hrasls5	HRASLS5
Tas2r124	TAS2R13
Ggact	GGACT
Champ1	CHAMP1
Ndufa4l2	NDUFA4L2
Slc25a4	SLC25A4
Yif1b	YIF1B
Slc39a7	SLC39A7
Casc1	CASC1
Eif1ax	EIF1AX
Tfap2e	TFAP2E
Smarcc2	SMARCC2
Gpr182	GPR182
Cd300e	CD300E
Morc1	MORC1
Smurf1	SMURF1
Ighv3-3	IGHV4-4
Ighv3-3	IGHV4-28
Ighv3-3	IGHV4-31
Ighv3-3	IGHV4-34
Ighv3-3	IGHV4-39
Ighv3-3	IGHV4-61
Ighv3-3	IGHV4-59
Surf6	SURF6
Elp3	ELP3
Lepr	LEPR
Treml2	TREML2
Nlk	NLK
Tbc1d9	TBC1D9
Cd300lb	CD300LB
Asb5	ASB5
Was	WAS
Tcf25	TCF25
Auh	AUH
Acsf3	ACSF3
Lrrc55	LRRC55
Egflam	EGFLAM
Smg8	SMG8
Tmem63b	TMEM63B
Gstm1	GSTM1
Aldh3b2	ALDH3B2
Has3	HAS3
Dhrs13	DHRS13
Acvr1	ACVR1
Adcy7	ADCY7
Twistnb	TWISTNB
Ecsit	ECSIT
Dgat2l6	DGAT2L6
Srgap2	SRGAP2C
Srgap2	SRGAP2B
Btbd8	BTBD8
Greb1l	GREB1L
Zfp78	ZNF669
Zfp78	ZNF124
Zfp78	ZNF705B
Zfp78	KRBOX4
Zfp78	ZNF674
Zfp78	ZNF491
Zfp78	ZNF440
Zfp78	ZNF891
Zfp78	ZNF705A
Zfp78	ZNF439
Zfp78	ZNF69
Zfp78	ZNF763
Capza3	CAPZA3
Ighv1-47	IGHV1-24
Ighv1-47	IGHV1-69-2
Guca2a	GUCA2A
Plcd4	PLCD4
Guf1	GUF1
Kirrel2	KIRREL2
Gm11596	KRTAP4-3
Gm614	CXorf65
Msr1	MSR1
Lgi3	LGI3
Hdhd2	IER3IP1
Actn3	ACTN3
Exd1	EXD1
Tcerg1l	TCERG1L
Cant1	CANT1
Atxn1l	ATXN1L
Abcb8	ABCB8
Cyba	CYBA
Rad9b	RAD9B
Mat2a	MAT2A
Ap3m1	AP3M1
Ano2	ANO2
Calcoco1	CALCOCO1
Serhl	SERHL2
Smpd4	SMPD4
Noc3l	NOC3L
Tas2r117	TAS2R14
Vdac2	VDAC2
Glp1r	GLP1R
Ces3a	CES3
Stx19	STX19
Podn	PODN
Gsto2	GSTO2
Trem1	TREM1
Asprv1	ASPRV1
Clec2h	CLEC2D
Kcnk15	KCNK15
Pklr	PKLR
Nr4a3	NR4A3
Pes1	PES1
Mfap1a	MFAP1
Rnase2a	RNASE3
Rnase2a	RNASE2
Sall4	SALL4
Cfap157	CFAP157
Olfr44	OR8G1
Olfr44	OR8G5
Agbl4	AGBL4
Mrps23	MRPS23
Relt	RELT
Krt2	KRT2
Stx8	STX8
Exosc3	EXOSC3
Slc30a10	SLC30A10
Rab33a	RAB33A
Ikzf2	IKZF2
Nop14	NOP14
Prr23a3	PRR23D2
Prr23a3	C3orf56
Zfp532	ZNF532
Hsd3b1	HSD3B2
Hsd3b1	HSD3B1
Fam84b	FAM84B
Trmt61a	TRMT61A
Cd209f	CLEC4M
Nr2e3	NR2E3
Pax5	PAX5
Ppp1r37	PPP1R37
Sycn	SYCN
Eda	EDA
Nipsnap3a	NIPSNAP3A
Mroh6	MROH6
Ddx59	DDX59
Cemip	CEMIP
Rbm12	RBM12
Luzp2	LUZP2
1700034J05Rik	C12orf71
Ppcs	PPCS
Scx	SCX
Ndufaf7	NDUFAF7
Rbm19	RBM19
Glod5	GLOD5
Alkbh6	ALKBH6
Tomm20l	TOMM20L
Tmem39a	TMEM39A
Tlr6	TLR6
Olfr1216	OR4C15
Elp5	ELP5
Plek2	PLEK2
Ghrhr	GHRHR
Sntg2	SNTG2
Slc13a4	SLC13A4
Spire1	SPIRE1
Slc15a1	SLC15A1
Ctu2	CTU2
Pon2	PON2
D11Wsu47e	C17orf80
Anxa10	ANXA10
Trbv19	TRBV19
Cd38	CD38
Kcne1	KCNE1B
Slco1a4	SLCO1A2
Lhfpl3	LHFPL3
Zfp362	ZNF362
Slc44a5	SLC44A5
Gtf2b	GTF2B
Gm8773	FAM237B
Carmil2	CARMIL2
En1	EN1
Plxnb2	PLXNB2
Eif2s1	EIF2S1
Tas2r120	TAS2R20
Tas2r120	TAS2R43
Tas2r120	TAS2R50
Tas2r120	TAS2R19
Tas2r120	TAS2R31
Tas2r120	TAS2R46
Tas2r120	TAS2R30
Lingo2	LINGO2
Zfp768	ZNF768
Arl4a	ARL4A
Slc44a1	SLC44A1
Mrgprx2	MRGPRX1
Mrgprx2	MRGPRX2
Tmem163	TMEM163
Zfp688	ZNF688
Smarcal1	SMARCAL1
Trim43a	TRIM43B
Trim43a	TRIM43
Il17c	IL17C
Cyp2j11	CYP2C8
C1ql1	C1QL1
Zfp212	ZNF212
Ppil6	PPIL6
Arhgap19	ARHGAP19
Arhgap19	ARHGAP19-SLIT1
Fgf18	FGF18
4930523C07Rik	KIAA0040
Baat	BAAT
Krtcap2	KRTCAP2
Tcn2	TCN2
Pxn	PXN
Ttc38	TTC38
Far2	FAR2
Atg14	ATG14
Cxcl17	CXCL17
Clca4a	CLCA4
Tbc1d4	TBC1D4
Pck1	PCK1
Tmem81	TMEM81
Prr11	PRR11
Tnfrsf8	TNFRSF8
Gli1	GLI1
Muc15	MUC15
1110002E22Rik	C4orf54
2410131K14Rik	C12orf49
Slc25a13	SLC25A13
P2ry6	P2RY6
Emx2	EMX2
Gm42715	SRCAP
Epb41l2	EPB41L2
Prune1	PRUNE1
Tlr1	TLR1
Srsf1	SRSF1
Tnks1bp1	TNKS1BP1
Ttc14	TTC14
C2cd5	C2CD5
Zbtb43	ZBTB43
BC053393	HAVCR1
Ssxb6	SSX3
Ssxb6	SSX4
Ssxb6	SSX4B
Ssxb6	SSX2
Ssxb6	SSX7
Ssxb6	SSX2B
Glrb	GLRB
Gm6592	SSX3
Gm6592	SSX4
Gm6592	SSX4B
Gm6592	SSX2
Gm6592	SSX7
Gm6592	SSX2B
Stk38l	STK38L
Dlgap3	DLGAP3
Tspyl2	TSPYL2
Gm45618	KRTAP2-1
Gm45618	KRTAP2-2
Gm45618	KRTAP2-3
Gm45618	KRTAP2-4
Gm45618	KRTAP4-8
Gm45618	KRTAP4-16
Gm45618	KRTAP4-9
Gm45618	KRTAP4-11
Gm45618	KRTAP4-5
Gm45618	KRTAP4-4
Gm45618	KRTAP4-2
Gm45618	KRTAP4-1
Gm45618	KRTAP9-1
Gm45618	KRTAP9-2
Gm45618	KRTAP9-3
Gm45618	KRTAP9-8
Gm45618	KRTAP9-4
Gm45618	KRTAP9-9
Gm45618	KRTAP9-6
Gm45618	KRTAP9-7
Mtpap	MTPAP
Pip5k1a	PIP5K1A
Scaf11	SCAF11
Gpat2	GPAT2
Caskin2	CASKIN2
Ddah1	DDAH1
Cfap69	CFAP69
Cst7	CST7
Zfp691	ZNF691
Retnlb	RETNLB
Ice2	ICE2
Wdr20rt	WDR20
Olfr220	OR6P1
Cd209c	CD209
Ccdc12	CCDC12
F3	F3
Slc22a19	SLC22A9
Lcn6	LCN6
Olfr1040	OR5AL1
Psma5	PSMA5
Etv5	ETV5
Olfr1500	OR9Q1
Mkln1	MKLN1
Pif1	PIF1
Usp43	USP43
Fam71f2	FAM71F2
Oscar	OSCAR
Gpx7	GPX7
Ccdc81	CCDC81
Slc2a9	SLC2A9
Krt7	KRT7
Calml3	CALML3
Aire	AIRE
Kdelc1	KDELC1
Apbb1ip	APBB1IP
Mrgprb1	MRGPRX1
Mrgprb1	MRGPRX2
4921507P07Rik	C7orf31
Rgs20	RGS20
Gja1	GJA1
Angptl1	ANGPTL1
Zfp821	ZNF821
Slc25a29	SLC25A29
Klri2	KLRC4-KLRK1
Klri2	KLRC4
Klri2	KLRC2
Klri2	KLRC3
Klri2	KLRC1
Chtop	CHTOP
AI837181	C11orf68
Spc24	SPC24
Cep97	CEP97
Sp2	SP2
H2afz	H2AFZ
St3gal1	ST3GAL1
Plcb2	PLCB2
Ppm1k	PPM1K
Olfr31	OR2T1
Cnbd2	CNBD2
Slc12a3	SLC12A3
Gzmn	GZMB
Ccl24	CCL24
Eln	ELN
Lima1	LIMA1
Kel	KEL
Olfr1303	OR4F29
Nkrf	NKRF
Gadd45g	GADD45G
Lrrc52	LRRC52
Vmn1r13	VN1R5
Phgdh	PHGDH
Lamb1	LAMB1
Psg21	CEACAM1
Psg21	CEACAM8
Psg21	PSG3
Psg21	PSG8
Psg21	PSG1
Psg21	PSG5
Psg21	PSG7
Psg21	PSG6
Psg21	PSG4
Psg21	PSG2
Psg21	PSG11
Olfr750	OR6S1
Trpv6	TRPV6
Skiv2l	SKIV2L
Zfp644	ZNF644
Krt6b	KRT6B
Krt6b	KRT6C
Krt6b	KRT6A
Rbm25	RBM25
Arr3	ARR3
Psg25	CEACAM1
Psg25	CEACAM8
Psg25	PSG3
Psg25	PSG8
Psg25	PSG1
Psg25	PSG5
Psg25	PSG7
Psg25	PSG6
Psg25	PSG4
Psg25	PSG2
Psg25	PSG11
Olfr1205	OR4C11
Lsm14b	LSM14B
Defb14	DEFB103A
St6galnac2	ST6GALNAC2
Ces2c	CES2
Zc3hav1	ZC3HAV1
Hipk2	HIPK2
Slc16a14	SLC16A14
Foxj3	FOXJ3
Ei24	EI24
Pinx1	PINX1
Prkd3	PRKD3
Tmem45a	TMEM45A
Sp8	SP8
Tnnt1	TNNT1
Sult4a1	SULT4A1
Xpo1	XPO1
Gimap4	GIMAP4
Def8	DEF8
Sirt7	SIRT7
Gal3st1	GAL3ST1
Atp5s	DMAC2L
Lix1	LIX1
C1galt1	C1GALT1
Traf4	TRAF4
Frmpd1	FRMPD1
Noto	NOTO
S100a13	S100A13
Gm42878	MAPKAPK5
Pira2	LILRB4
Pira2	LILRB3
Pira2	LILRA6
Pira2	LILRB5
Pira2	LILRA4
Pira2	LILRA5
Uprt	UPRT
Sorbs1	SORBS1
Unc50	UNC50
Cnot7	CNOT7
Igfbp1	IGFBP1
Iars	IARS
Prim1	PRIM1
Kpna7	KPNA7
Cdhr3	CDHR3
Atg12	ATG12
Olfr1245	OR4A16
Vps26b	VPS26B
Icmt	ICMT
Htr3b	HTR3B
Gabre	GABRE
Galns	GALNS
Olfr444	OR2A14
Cdk4	CDK4
Traf7	TRAF7
Lrit3	LRIT3
Tctn3	TCTN3
Dennd2a	DENND2A
Syt4	SYT4
Cryba1	CRYBA1
Rgs4	RGS4
Magea5	MAGEA10
Gzmd	GZMB
Amfr	AMFR
Hspg2	HSPG2
Serpina1d	SERPINA1
Tcaf2	TCAF2C
Tcaf2	TCAF2
Pnpla8	PNPLA8
Ighv1-43	IGHV1-24
Ighv1-43	IGHV1-69-2
Cend1	CEND1
Slc2a12	SLC2A12
Cracr2b	CRACR2B
Abhd5	ABHD5
Mc2r	MC2R
Senp1	SENP1
4930578I06Rik	C8orf74
Syt2	SYT2
Tas2r135	TAS2R60
Mest	MEST
Cntn2	CNTN2
Erlin2	ERLIN2
Macc1	MACC1
Bhlha15	BHLHA15
Ccdc80	CCDC80
Tmem92	TMEM92
Rdh16	RDH16
Olfr1268-ps1	OR4X1
Ccdc120	CCDC120
Gata3	GATA3
Lhfpl1	LHFPL1
Usp51	USP51
1810010H24Rik	C17orf58
Rptor	RPTOR
Krt76	KRT76
Aspn	ASPN
Hr	HR
Auts2	AUTS2
Cldn23	CLDN23
Tctn1	TCTN1
Gtpbp6	GTPBP6
Slc22a8	SLC22A8
Olfr228	OR8K3
Scarb1	SCARB1
Col15a1	COL15A1
Ncf1	NCF1
Mgat5	MGAT5
Kcnk16	KCNK16
Il1f9	IL36G
Cdhr2	CDHR2
Aldh1a1	ALDH1A1
Snrpa1	SNRPA1
Zmat4	ZMAT4
Tas2r102	TAS2R13
Mllt11	MLLT11
Kif16b	KIF16B
Lbp	LBP
Degs2	DEGS2
Itga2	ITGA2
Ifi211	MNDA
Fbxo41	FBXO41
Cyp3a41b	CYP3A5
Cyp3a41b	CYP3A7
Cyp3a41b	CYP3A7-CYP3A51P
Cyp3a41b	CYP3A4
Cyp3a41b	CYP3A43
Trim37	TRIM37
Tm4sf19	TM4SF19-TCTEX1D2
Tm4sf19	TM4SF19
Ahi1	AHI1
Ighv1-9	IGHV1-24
Ighv1-9	IGHV1-69-2
Tspo	TSPO
Emc8	EMC8
Nlrp4a	NLRP4
Dctpp1	DCTPP1
Krtap1-5	KRTAP1-5
Krtap1-5	KRTAP1-4
Krtap1-5	KRTAP1-3
Krtap1-5	KRTAP1-1
Rbm39	RBM39
Pibf1	PIBF1
Dnah10	DNAH10
Aspa	ASPA
Cyp51	CYP51A1
Fntb	CHURC1-FNTB
Fntb	FNTB
Skida1	SKIDA1
Pdzd8	PDZD8
Stard8	STARD8
Bmp1	BMP1
Neurl1b	NEURL1B
Mafa	MAFA
Svs3b	SEMG1
Svs3b	SEMG2
Olfr1263	OR4C45
Tspan4	TSPAN4
Atat1	ATAT1
Chchd5	CHCHD5
Pcca	PCCA
Rasa1	RASA1
Ttll10	TTLL10
Lrrc8b	LRRC8B
Kdm5c	KDM5C
Sh2d1b2	SH2D1B
Pglyrp4	PGLYRP4
Ighv9-2	IGHV7-4-1
Ighv9-2	IGHV7-81
Phf11c	PHF11
Mmp3	MMP3
Tbc1d9b	TBC1D9B
P2ry4	P2RY4
Cacng2	CACNG2
Bhmt2	BHMT2
Ugt1a6a	UGT1A6
Ttc28	TTC28
Wdr5	WDR5
Calcoco2	CALCOCO2
Kif27	KIF27
Grb2	GRB2
Vax2	VAX2
Parp4	PARP4
Ighv1-37	IGHV1-24
Ighv1-37	IGHV1-69-2
Afdn	AFDN
Sp100	SP140
Snf8	SNF8
Olfr1118	OR10AG1
Olfr809	OR6C76
Ttpal	TTPAL
Them4	THEM4
Atg3	ATG3
Prdx1	PRDX1
Slc22a26	SLC22A9
Api5	API5
Prr22	PRR22
Ccdc175	CCDC175
Pipox	PIPOX
Swsap1	SWSAP1
Th	TH
Gal3st2	GAL3ST2
Igfbp5	IGFBP5
Cldn12	CLDN12
Tspan17	TSPAN17
Chst4	CHST4
Gm20489	IL2RG
Fscn3	FSCN3
Tmem47	TMEM47
Mtfp1	MTFP1
Cox14	COX14
H2afb2	H2AFB1
H2afb2	H2AFB2
H2afb2	H2AFB3
Rgl3	RGL3
Rpia	RPIA
Ankrd7	POTEC
Ankrd7	POTEF
Deaf1	DEAF1
Itgb1bp1	ITGB1BP1
Vwa1	VWA1
Olfr1293-ps	OR4F4
Olfr1293-ps	OR4F5
S100a8	S100A8
Gad2	GAD2
Nono	NONO
Sgip1	SGIP1
Ints3	INTS3
Abcc5	ABCC5
Matn4	MATN4
Rap1gap2	RAP1GAP2
Fst	FST
Kcnh7	KCNH7
Epsti1	EPSTI1
Zeb2os	ZEB2-AS1
Slc44a3	SLC44A3
Pias4	PIAS4
Bcl2a1c	BCL2A1
Sarnp	SARNP
Rnf44	RNF44
Ighv1-20	IGHV1-24
Ighv1-20	IGHV1-69-2
Zranb2	ZRANB2
Gla	GLA
Acsl5	ACSL5
Bcar1	BCAR1
Cdc42ep3	CDC42EP3
Scara3	SCARA3
Ncapd3	NCAPD3
Ror1	ROR1
Impad1	IMPAD1
Ergic3	ERGIC3
Hip1	HIP1
Inhbb	INHBB
Rps14	RPS14
Acp2	ACP2
Tbccd1	TBCCD1
Olfr1048	OR8K5
Rhbdd3	RHBDD3
Sass6	SASS6
Eef2	EEF2
Lrp5	LRP5
Abcd3	ABCD3
Rtn3	RTN3
Metap1	METAP1
Napb	NAPB
Piezo1	PIEZO1
Rasd1	RASD1
Eid1	EID1
Zkscan1	ZKSCAN1
Mcm2	MCM2
Lrrc8d	LRRC8D
Parp8	PARP8
Nxpe4	NXPE4
Ccdc39	CCDC39
C1qtnf2	C1QTNF2
Pla2r1	PLA2R1
Gdap2	GDAP2
Ercc5	ERCC5
Ercc5	BIVM
Ercc5	BIVM-ERCC5
Muc3	MUC17
Vmn1r43	VN1R5
Ccdc142	CCDC142
Eef2k	EEF2K
Serpina3b	SERPINA3
Dusp9	DUSP9
Pcnp	PCNP
Ftsj1	FTSJ1
Kcnj16	KCNJ16
Nod1	NOD1
Foxc2	FOXC2
Cntnap4	CNTNAP4
Itgb3bp	ITGB3BP
Miox	MIOX
Nudt4	NUDT4
Nudt4	NUDT4B
Wfdc2	WFDC2
Ighv1-12	IGHV1-24
Ighv1-12	IGHV1-69-2
Decr1	DECR1
Insig2	INSIG2
Ccdc71l	CCDC71L
Cadm3	CADM3
Hand1	HAND1
Actr8	ACTR8
L3hypdh	L3HYPDH
Csde1	CSDE1
Sec16b	SEC16B
Dock9	DOCK9
Tada2b	TADA2B
Olfr1289	OR4F4
Olfr1289	OR4F5
Mrpl10	MRPL10
Vwa7	VWA7
Mfsd10	MFSD10
Sh3d21	SH3D21
Slco1b2	SLCO1B3
Slco1b2	SLCO1B1
Slco1b2	SLCO1B7
Lypla1	LYPLA1
Rnase2b	RNASE3
Rnase2b	RNASE2
Rad21	RAD21
Ppp1ca	PPP1CA
Dpp8	DPP8
Grpel1	GRPEL1
Arhgef17	ARHGEF17
Acmsd	ACMSD
Hsd17b2	HSD17B2
Olfr796	OR10P1
Ighv1-22	IGHV1-24
Ighv1-22	IGHV1-69-2
Gpr135	GPR135
Ly75	LY75
Ly75	LY75-CD302
Trim58	TRIM58
Tpd52l1	TPD52L1
Cdk9	CDK9
Bcl2l14	BCL2L14
Zfp369	ZNF274
Maf1	MAF1
Kmt2c	KMT2C
Syndig1l	SYNDIG1L
Ddit3	DDIT3
Ltn1	LTN1
Fen1	FEN1
Ncoa5	NCOA5
Cog7	COG7
Tmbim6	TMBIM6
Saraf	SARAF
Mtx3	MTX3
Gch1	GCH1
Ackr1	ACKR1
Zc3h11a	ZC3H11B
Ntan1	NTAN1
Hes2	HES2
Folh1	FOLH1
Zfp91	ZFP91
Zfp91	ZFP91-CNTF
Pyroxd1	PYROXD1
Spsb3	SPSB3
Ankrd34b	ANKRD34B
Slc39a13	SLC39A13
Ccdc30	CCDC30
Pacs2	PACS2
Avil	AVIL
Mark4	MARK4
Gmps	GMPS
Slc41a2	SLC41A2
Gm10184	KPNA2
Zfp661	ZNF2
Tas2r123	TAS2R14
Csf2ra	CSF2RA
Olfr1076	OR8K3
Ear14	RNASE3
Ear14	RNASE2
Rbbp8	RBBP8
Lcat	LCAT
Rab13	RAB13
B020011L13Rik	ZNF775
Dusp4	DUSP4
4933400A11Rik	CAPZA1
Zfp985	ZNF34
Esr2	ESR2
Tff2	TFF2
Zfp235	ZNF233
Atp9a	ATP9A
Itgax	ITGAX
Taz	TAZ
Camsap3	CAMSAP3
Thnsl2	THNSL2
Spata31d1c	SPATA31D3
Spata31d1c	SPATA31D4
Spata31d1c	SPATA31D1
Olfr402	OR3A1
Obp2b	OBP2B
Obp2b	OBP2A
Net1	NET1
Dcaf15	DCAF15
Plxnb3	PLXNB3
Cd2	CD2
Clstn3	CLSTN3
Glo1	GLO1
Igkv17-127	IGKV5-2
Herpud1	HERPUD1
Srm	SRM
Samd13	SAMD13
Gnai1	GNAI1
Flg	FLG
Mapk13	MAPK13
Rufy4	RUFY4
Gm884	LRRC37A
Gm884	LRRC37A2
Hist1h2ac	HIST1H2AE
Bcas2	BCAS2
Rnf151	RNF151
Olfr1051	OR8K5
Slc38a4	SLC38A4
Ptpn7	PTPN7
Nbeal2	NBEAL2
Cox7a2	COX7A2
Synj2	SYNJ2
Blnk	BLNK
Tesc	TESC
Chodl	CHODL
Oprk1	OPRK1
Rpgrip1l	RPGRIP1L
B3gnt2	B3GNT2
Mmp24	MMP24
Ext1	EXT1
Rbm14	RBM14
Oxtr	OXTR
Pdgfd	PDGFD
Dnajb11	DNAJB11
Fam219a	FAM219A
2200002D01Rik	C19orf33
Eri2	ERI2
Rasef	RASEF
Bex2	BEX1
Bex2	BEX2
Col5a1	COL5A1
Clec18a	CLEC18A
Clec18a	CLEC18C
F8a	F8A1
F8a	F8A2
F8a	F8A3
Plekha1	PLEKHA1
Olfr1428	OR4D6
Suv39h1	SUV39H1
Esam	ESAM
Smim9	SMIM9
Psme2b	PSME2
Slc9a3r1	SLC9A3R1
Edrf1	EDRF1
Pabpc1l	PABPC1L
1810046K07Rik	C11orf53
Tymp	TYMP
Slc51b	SLC51B
Slc39a1	SLC39A1
Ankmy2	ANKMY2
Ap1s1	AP1S1
Olfr319	OR2AK2
Trim56	TRIM56
Tifa	TIFA
Spa17	SPA17
Agps	AGPS
Ndufb4	NDUFB4
Mfsd14a	MFSD14A
Rasal2	RASAL2
Pdgfrl	PDGFRL
Gabpb2	GABPB2
Pik3cg	PIK3CG
Dgat1	DGAT1
Fam69b	DIPK1B
Lrriq3	LRRIQ3
Elf3	ELF3
Nfil3	NFIL3
Rfx8	RFX8
Mafg	MAFG
Serpina3i	SERPINA3
Olfr700	OR2AG1
Ankef1	ANKEF1
Zfp619	ZNF850
Ccnjl	CCNJL
Notch3	NOTCH3
Cipc	CIPC
Slc12a4	SLC12A4
Slc2a6	SLC2A6
Abcb4	ABCB4
Tmem258	TMEM258
Clec4f	CLEC4F
Spag6	SPAG6
Cep104	CEP104
Ribc2	RIBC2
Vsig4	VSIG4
Abcc1	ABCC1
Ros1	ROS1
Gas2	GAS2
Trmt10a	TRMT10A
Pax4	PAX4
Cdpf1	CDPF1
Ankdd1a	ANKDD1A
Cc2d2b	CC2D2B
Slc9a4	SLC9A4
Hmmr	HMMR
Tigd5	TIGD5
Atp5j2	ATP5MF
Brd3	BRD3
Coq9	COQ9
Olfr1156	OR5L1
Olfr1156	OR5L2
1110017D15Rik	C9orf24
Olfr1438-ps1	OR5A2
Heph	HEPH
Ctag2	CTAG1A
Ctag2	CTAG1B
Ctag2	CTAG2
Meiob	MEIOB
Ccdc92	CCDC92
Nme2	NME2
Olfml3	OLFML3
Iapp	IAPP
Eif1b	EIF1B
Mzt2	MZT2B
Mas1	MAS1
Syap1	SYAP1
Vmn1r27	VN1R5
Top2a	TOP2A
Mcrs1	MCRS1
Fam43a	FAM43A
U2surp	U2SURP
Cd5	CD5
Stox1	STOX1
Muc3a	MUC3A
Klhl14	KLHL14
Lmod1	LMOD1
Mfng	MFNG
Bmi1	COMMD3-BMI1
Bmi1	BMI1
Cd81	CD81
Pkp1	PKP1
Rbms1	RBMS1
Rab35	RAB35
Gm45015	PNMA6F
Gm45015	PNMA6E
Pgrmc1	PGRMC1
